product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
89f055104adb9365d7f7b5c475f77742,beleza_saude,38,395,1,114,19,16,17
b4bbe69ef82d98f932d5c94987c42938,bebes,52,744,2,517,19,18,18
ed464125465d8ab04c3615963d27395c,casa_construcao,56,904,6,700,39,7,39
a88124e0b1d42ca7b0813a78ff630437,construcao_ferramentas_construcao,55,338,1,2600,23,8,23
8e371c2303bcf90383f6cebd67f2dffe,brinquedos,48,236,1,450,45,15,35
f5e48ba4fcfdf3920b7a857b261a3ef3,construcao_ferramentas_construcao,59,648,1,200,21,7,14
d556492cb91418b6a9d9613592b4367f,telefonia_fixa,51,352,1,100,19,3,11
e7f85596b92f92cb501855897696f66b,fashion_underwear_e_moda_praia,54,1152,6,2300,16,5,11
0a1c4b9c1ca294b2c85dbe2d4920abe6,papelaria,47,111,1,6250,30,10,30
0be79cf589781c512bd91976eadeeff0,consoles_games,45,304,1,200,25,5,15
af64874ef27a7dc357905b75ea78555a,fashion_bolsas_e_acessorios,51,250,7,350,17,4,13
cfa14c9ef22bd6c41e20df06de9dfa76,utilidades_domesticas,60,217,2,9950,61,31,31
9ce6c37f9df63de67692c3f7d4d209f1,moveis_decoracao,53,194,11,1100,31,11,26
a08ffa6ecdd0ab3c1f4fe348acc2553b,UNKNOWN,0,0,0,1000,40,8,40
b1c791ce2fd764b4aaea6b9064b224ac,perfumaria,52,425,3,400,23,8,15
e7dffcd8a3257cf9f6644b7d30eaf727,relogios_presentes,55,1355,5,500,18,11,14
dd77ffae83ea4313783323ea026dbf0a,casa_construcao,51,915,6,850,16,27,16
6f7df385d032846d2941c806179cc78e,automotivo,60,1301,1,1800,16,22,16
7d1f165a4a03757ada8c56e9aba9fb41,moveis_decoracao,52,500,1,8200,30,30,30
106ebc8f9982193679d02a4584947b89,automotivo,59,114,1,300,16,2,11
fc94d52bb346616a130e657a8fac829b,bebes,58,233,1,7100,41,40,40
fdc3af4045c7316cadde9fda3c335932,instrumentos_musicais,54,267,3,300,32,3,16
ff7824d83aca56224fa3e3b524748ec5,esporte_lazer,27,383,3,600,28,25,25
d7a0d43b22866d7a8c1c22532daff378,cama_mesa_banho,51,441,2,2950,100,10,11
7d761cef314675473eda87ecc3b7e751,cama_mesa_banho,45,729,1,1250,30,30,20
46e4940f28c9231a801873e62ca55c53,perfumaria,50,54,1,50,30,10,20
d761571f5524f788ce8a5797c4cd732f,beleza_saude,60,695,2,900,25,30,20
ead72457c58dcea14f94c2223c684716,esporte_lazer,51,2050,1,50,20,16,12
a9dad2ea6b0cb39733febae5b7ec1dda,utilidades_domesticas,58,143,1,790,36,8,25
79792fabf714677e94472c3ce5e719a5,moveis_decoracao,57,646,1,300,20,30,16
c519f4684e315ead8f279de375f4aa61,informatica_acessorios,46,311,2,300,24,9,17
7ad1208884270048a2176ff437f49a9b,cama_mesa_banho,52,244,1,2300,45,15,35
ea5708a5c7124ed181b770fe811ec775,papelaria,60,501,6,550,22,7,15
c8e3b23381d275296ec611061b616789,beleza_saude,60,1493,4,468,23,9,22
7a63b90eac4831fa1eed304ebb910716,informatica_acessorios,39,615,1,200,16,5,11
96cc6d39d2114a36f318d641c3cae43d,brinquedos,49,323,2,250,20,20,16
f5068d43799fc3243cf62b290d885d3e,consoles_games,55,546,5,400,21,6,16
d5de9e83335830f4597d314e63845eb3,ferramentas_jardim,59,1125,6,11600,52,23,22
819cc553cef53e5f33e1e74ef5133409,beleza_saude,60,543,3,1075,23,8,20
60567eaf5cdf794639e94508ec387a82,fashion_bolsas_e_acessorios,55,903,1,3350,62,20,40
7b0f65d848af0681e064d72f0d44e862,informatica_acessorios,27,645,2,125,18,3,11
e5e0c45564bc74a85e8e51968fdefa8d,automotivo,56,840,1,1800,45,20,45
0df2a7a1ee25a81b032358dbb083319b,moveis_decoracao,42,1931,3,3800,70,4,55
41587317a0dfddc726a29e86b9527f48,consoles_games,60,123,1,600,20,11,17
b00cef861f6f633cc9eded86aedd8f3a,cama_mesa_banho,50,381,1,2200,47,21,41
bf4aa8e63457632377b86424e38fb071,utilidades_domesticas,46,674,3,200,20,20,20
1522a5bd5aab30ceb119c8fb8ec5a8f0,esporte_lazer,32,682,1,190,22,5,15
24d746a5965b583493871d11f75b1068,instrumentos_musicais,30,435,1,1000,40,40,30
68bec1af3851f58027db8beadf3914d7,informatica_acessorios,41,231,2,350,16,16,16
ec5b5cce0b8464a1c618325f35c779dc,moveis_decoracao,60,2084,3,1300,69,11,11
6bc53d46b55a38602aad862a37153ea6,casa_conforto,57,246,3,5350,40,20,40
184f6e7e403fe477af4b1a02b9d432e4,moveis_decoracao,44,257,3,6300,40,45,30
1272db6c9d16e3c3b9878c3462a0f369,malas_acessorios,29,1095,3,450,29,19,28
f40ef461e35cca158e568c17293fb5be,telefonia,27,402,5,150,19,3,11
92473ca06aa61791e4dc02c9af82bf83,moveis_decoracao,60,2043,5,3000,69,11,11
b8be700cb8f91067761b685ac5d1664f,telefonia,60,1440,3,100,18,6,11
e27c4dd075a521097a085bced0631ce7,moveis_sala,31,618,2,9750,92,15,27
bf59082c832c1a67b92ee5ca73971f4e,utilidades_domesticas,56,1195,5,4750,60,5,40
36876fa11e21f66fcbe91abde34210c5,pet_shop,57,463,1,5500,57,21,37
b776dbd8d7dfb18b7422dd99b1f1ba03,utilidades_domesticas,49,539,3,3350,23,17,22
07797d4315ce5c1570e0a484472e04b5,moveis_decoracao,32,303,1,2300,37,30,20
a4feaaaf220690fe86cad96217774d0e,eletroportateis,58,767,4,1375,36,23,14
32224b437cefd35300f4adeff01db8f4,moveis_decoracao,54,1722,2,550,52,11,11
529deff9c151e0db37c88a43952868bb,eletroportateis,54,565,3,3100,35,35,16
3e442d09f9dfef002aadf31960869f65,informatica_acessorios,33,1084,2,200,41,2,29
4039be757013ccb66cb41d683261dece,utilidades_domesticas,64,320,1,3000,85,10,50
d540d228abea2bb0713acb40e4f3d341,pet_shop,56,2358,6,2350,42,22,32
1c63d0a4d75df524d4605a43285925d7,bebes,51,353,3,668,21,25,21
5e094b8daf1ba2eb4d6c0cc6ac2ad51e,beleza_saude,32,1033,1,150,16,2,11
4aca38e787c979a6106440c7a63036b4,brinquedos,55,1107,1,1600,40,15,35
ab9456d1c4cb5ef44bdecc0aa8021f39,moveis_decoracao,26,621,1,6000,37,41,37
21733435c91b1a39455537eeacd3c467,ferramentas_jardim,63,525,3,300,20,4,16
a5502e9954017124d95f7bce4c89d339,cama_mesa_banho,46,701,1,1300,50,12,12
7b8603501af310bf297351a4cc8cd3a5,esporte_lazer,36,642,1,300,20,7,14
70aa499facb0946dc40ff974166fd522,automotivo,58,1683,8,2700,46,16,25
c4b5776ae19c3e9ee28323b38d41c72f,moveis_decoracao,27,212,2,10050,72,10,72
ef9f731f8f63f85ea53e94df375baf54,instrumentos_musicais,59,1172,2,9250,100,20,45
b0fd7a18daa40299b5393b4280b55dad,informatica_acessorios,33,2157,2,415,29,18,22
aa8dbe0ebad6906e9253479e1027185e,utilidades_domesticas,53,537,1,850,25,5,20
d517de1f2a8247cc1ea2951c4039ae20,brinquedos,37,450,3,992,34,13,31
84d0969ab5317ca361e0a628948a4624,moveis_decoracao,5,310,1,7050,88,29,29
b7605b5b483063d12bd90a772bff9d21,cama_mesa_banho,45,437,2,550,50,7,40
70c6bcc1ade2c8284d07bddfe37dcfee,utilidades_domesticas,43,711,1,2000,25,60,25
b42c05a477c94b52587fa47d777928df,cama_mesa_banho,44,209,1,1350,39,18,39
de6517dda8e49774f58c07f80abc8d7a,market_place,56,975,1,950,26,17,24
b1035b3d307f0aeb6157fdd3e09f8119,telefonia,55,395,3,375,18,13,16
de6702c748c719cbd13bb814f006ba22,UNKNOWN,0,0,0,150,16,9,11
bb7181410b4e02f93f3697f765db53c7,bebes,36,1058,1,14950,77,20,53
b825640a6e030d36a45c34eed447a07a,cool_stuff,54,702,1,100,20,10,15
7f253218cda162fcc215fd4e0768b00c,cool_stuff,56,1826,1,2000,28,19,21
ed5f0d58e27cf65a07283c251747936f,consoles_games,55,864,6,350,21,18,18
128d1c88b601731fe8ed4044b1ae7a6a,cama_mesa_banho,50,120,1,650,44,18,34
9223a3da528213e384a176a70d92130a,esporte_lazer,51,759,6,900,55,20,22
d0f60ef2a4823f57f00f1bd5cb463148,esporte_lazer,36,134,3,300,16,16,16
ad7beed1d6b41ea967b2724468a23c92,moveis_decoracao,31,370,1,325,33,7,18
edac4210602e69d752554780d5a913f4,ferramentas_jardim,60,1302,1,450,17,17,17
368ba390a67a37fa114450dc1f19e047,fashion_bolsas_e_acessorios,46,815,1,100,16,5,16
6a3370dbb5bd5817ac81a5db12cb2baa,perfumaria,39,340,1,267,17,14,14
a01d1cbb398e386a4a8f8364401a7584,esporte_lazer,58,757,2,500,50,5,30
b1d69027dcf7fec05464c24c1e197dde,perfumaria,47,565,1,675,19,13,13
1d1d29cb3e67f3a4d7eb040b5a13d361,moveis_decoracao,30,634,1,25250,91,43,41
725cbfcaff95a4d43742fdf13cf43c75,cool_stuff,58,537,2,1850,34,5,34
db59f0dfd5593c492b2ff1a6ab50cc2d,esporte_lazer,50,258,2,1000,60,15,15
5bc6f966c95b579fc0982b73007f1917,cama_mesa_banho,55,364,2,1200,25,10,25
ce7757befc6e69c9a3c2d7551ea423ce,construcao_ferramentas_construcao,41,2686,1,2144,23,19,19
48633254f8b7b802b1ca8c4f4dcf3e33,artes,53,638,10,200,33,5,25
6a4bdc32bf81f50cb387fd6178ce7b07,cama_mesa_banho,55,276,1,2300,35,10,30
15a581e2cae15fe40ac430f07dc6aa12,casa_construcao,57,1018,1,450,18,19,13
0a859d8dc68f6a746b4709217110c439,esporte_lazer,50,2871,1,30000,90,50,50
6acecf7108cde510886d761f5d107fe1,papelaria,56,666,5,1000,31,15,20
a3c933b29543a2b90e9aca184ee7397a,cama_mesa_banho,55,184,2,350,50,8,40
9e45be91c990797c9bb60ce6fa369bff,moveis_decoracao,52,1750,4,2500,105,3,70
49e70ba5085cd95e69fb041635304a0c,fashion_bolsas_e_acessorios,23,77,2,200,16,3,15
60dfe129ad287ca8cd2656a8151138ad,moveis_decoracao,54,1750,3,2450,105,3,70
8aefc25069d9ccef99f9f08d4a869ac4,telefonia,48,342,1,183,18,4,11
8abdb2ffbf92eb0bcdd82fce515fde6a,automotivo,57,1022,3,1800,34,40,19
1027d3061ac141bbb2ea003c63dc3d66,automotivo,51,883,6,5950,53,43,11
2e91e5644d8da04d17ade8d59c0990ca,beleza_saude,55,664,1,2225,18,18,18
c20fbbd4ccf2f7da70e150689a6a905f,perfumaria,47,723,1,455,21,15,17
ace5d86cf1ac63cdb76f49e5cd23d2f8,moveis_decoracao,60,473,1,600,30,4,20
703d742887bb9267f89b675608ba7aa0,cama_mesa_banho,35,509,2,950,45,6,35
756eab67d3c0edae186c4617412c056b,beleza_saude,49,1948,1,640,31,16,15
6401d2f82d6e6c52998ce626fe4eda24,fashion_roupa_masculina,30,51,1,300,30,40,11
02d48451331287e2bf12560d032d57a6,eletronicos,55,981,1,150,24,5,18
795156625747aca0c4d4b44d22a5e6dd,informatica_acessorios,45,1464,2,225,25,16,16
9059b4009ee73aff5c683ea3b9307604,moveis_decoracao,54,1708,1,750,60,11,11
706a5e521711344bfd262cb3f2a77a78,bebes,49,223,3,283,40,20,37
64367bed3ed96fd9381676fbe33b6443,pet_shop,43,1101,2,5750,30,30,30
7aa6e062307255430c735f98b847578e,utilidades_domesticas,44,743,1,100,16,2,11
c6f46351ae5ae5a6d75ab14996584ce1,moveis_decoracao,56,2434,2,400,69,11,11
c625ae2c17fb3590976b5822c1505126,utilidades_domesticas,60,570,1,2000,32,32,32
3f9e3d09e34ab9b3235a0e9d584bba25,moveis_decoracao,40,94,5,400,20,5,16
0fce35c0b7338bda3e52e2389f0c0762,moveis_decoracao,61,157,9,3450,41,15,25
e06eb527f0a6ce904044687bd2faa582,utilidades_domesticas,42,223,2,800,46,10,35
69faf0d53eb73597d6cfd50175901a56,beleza_saude,36,1732,2,300,37,23,24
79d5da4087dedefe5ef7086bf68e6408,utilidades_domesticas,43,1709,1,1150,41,20,27
04d5a0ec1f6db00db01676199151df4c,relogios_presentes,59,616,1,425,16,10,11
3f4a3b8846f4522bd68853a50114da49,esporte_lazer,46,622,2,933,38,17,34
48acade3f4dd39bbab10bd14bcfc8735,beleza_saude,52,1649,1,250,22,5,15
c747d118db61a1c79977309b0ca33ddc,brinquedos,46,961,1,480,19,10,12
679a3e5e1d2bb68982be5734c6e55e63,casa_construcao,57,565,4,800,38,38,22
4886ee6eaf4ab72e0e91ed0c42815f49,cama_mesa_banho,58,729,1,1950,40,3,40
ace1e48f1eaabcd539235e93e361133b,moveis_decoracao,29,356,3,400,25,5,17
50c903691960bdd77acb82418a4445ec,bebes,24,174,3,200,16,11,11
e7593e3c84b3302e1531a715f1ded8b2,moveis_decoracao,46,458,1,750,30,30,30
3f3d9760b163e08f9566ea1b2b8e1cd4,beleza_saude,56,1891,1,1100,16,15,13
ffdde3d63e889c9a9f9ec30d82a4c815,brinquedos,63,554,4,21600,40,60,35
f6605392877b41d225dd146d2cf116b5,ferramentas_jardim,56,1182,1,550,17,17,17
475152a7f8c7ddd5457fef29a9d20dd1,ferramentas_jardim,50,472,1,950,16,32,13
b0ed7fe63babb3e705115f53fa74b20c,eletrodomesticos,38,928,2,1200,28,8,13
e13f46cf68d356e0ac0f32058af20911,fashion_bolsas_e_acessorios,56,142,6,150,16,9,11
0a23fd10720c5ffc6c7f5e66b0b26ae2,moveis_decoracao,63,628,3,900,30,30,30
7070d77d89af4f2865ff26b1323312ed,moveis_decoracao,23,254,1,17350,45,30,45
51555187e14ed8bb8addc25344848ef7,cama_mesa_banho,58,676,1,1325,23,17,19
41b7b870b6097bb62f462bc0af141d0d,moveis_decoracao,60,1492,3,2450,105,3,70
b1ff030591e1d0e0069e54d11c5c21d5,utilidades_domesticas,48,254,2,750,54,7,22
b71ed32edb9ce4684e10a11309011b60,alimentos_bebidas,30,690,2,500,25,9,18
0b1b954cb171434674907a8da1778e11,construcao_ferramentas_construcao,45,127,5,7400,60,20,40
6f5b86fea3f029028ff6b3a88248be45,eletroportateis,50,1157,1,4700,31,27,28
f7566c7c51e266442be8db4b8797ee1f,construcao_ferramentas_construcao,60,327,1,11550,33,12,33
9de7867a5bc245bcbb1e2ce6471ba208,eletrodomesticos_2,37,223,1,400,18,12,12
3822a27bc32b4e20694f1819c6d6e7ec,cama_mesa_banho,56,310,1,6400,30,6,25
6f7326be4926840cfcd094d2629f1049,utilidades_domesticas,57,2812,7,1000,30,12,30
e2dbf7712dcef4577bfee8f58eea55d1,papelaria,47,686,1,100,18,2,11
252dc23ff7e1241d046a1c2c5041ffb5,cama_mesa_banho,56,2079,2,1000,43,8,33
0ad6795586afdad1281b3884f2611ca6,construcao_ferramentas_construcao,40,459,1,250,60,60,11
d48e56be99464cbf285a9da17f618165,moveis_decoracao,54,584,1,1200,33,8,23
3aa038240692a414f33eaf1d12a44ed1,construcao_ferramentas_construcao,32,120,1,3050,16,16,16
d86a0708a75b7ba0080d94dc632fbc23,beleza_saude,37,634,2,200,16,10,16
efce86e8447765eda9f3db06491e819a,moveis_decoracao,57,108,11,2800,40,8,35
4d817c0fe79db81f4f99f840cadbde0e,moveis_sala,34,853,1,15150,38,48,38
f8ca22f13e0b58c30e9a8822f20d9ba9,moveis_decoracao,59,601,3,12200,51,56,36
7f10c4dc56e0a914b0552b6c3ab524c2,automotivo,50,232,1,1910,24,19,23
5ee76866fa61481c966c02a129dfac08,utilidades_domesticas,59,156,1,717,18,19,15
f9e4900e477f557c368d218065353b5a,telefonia_fixa,19,282,1,90,19,3,11
9af16e9f03d54065042ad4bd257ed5b0,perfumaria,33,1575,2,900,20,20,20
310dc32058903b6416c71faff132df9e,papelaria,36,326,1,300,16,10,11
7ddc9c0c8d8ff59c19050d36d2bdcb2a,casa_conforto,57,217,3,1700,30,20,30
36ea81e90d1292dcdc3ad8abb09c20fe,bebes,59,921,4,350,42,27,42
4c09470b433cef8a5790d7519849a282,automotivo,59,1278,1,3250,30,30,20
28492192565141edad4251d6f32d1fe1,esporte_lazer,31,831,1,1238,26,18,19
0ff3339eba4028a9dc569a61229c465a,informatica_acessorios,50,801,5,100,16,4,14
aa050bcc1f43af01b044c36285bbb87c,construcao_ferramentas_construcao,57,1519,2,450,28,4,13
e706d603c40437249cea9606699273a7,brinquedos,59,667,2,1000,32,30,16
fb3d7615501eb8155531583652015360,UNKNOWN,0,0,0,350,16,18,16
591efcfda8812f90d99a864afde3917f,utilidades_domesticas,39,362,1,850,30,5,30
b7c472e4bf39b63628ecedc8c9af805d,ferramentas_jardim,30,825,1,3000,32,10,27
6ee1607bacba780139e7f7fcd316c1d0,utilidades_domesticas,51,127,3,2100,43,30,11
5c76a53f09257b80bd0ff36472ef6b82,market_place,59,125,1,800,36,37,25
d934d5a5c12e50df26c0669f578e2621,informatica_acessorios,49,340,1,300,48,8,20
55b04296824029ae20bbeb3b200e69d0,moveis_decoracao,54,785,6,1300,60,12,12
e966f10c28b89ceb60d3c2dfb7144b12,moveis_decoracao,32,310,1,4100,49,13,38
0b33e28a934b68a0475650499b9ae509,esporte_lazer,42,1203,4,250,44,34,20
8b91b9d3fea3a20b5ab4ffa874fdb062,instrumentos_musicais,51,846,4,7600,30,30,30
ab29bedd6685cf84ec913965978c9d3a,automotivo,58,1276,4,1350,21,21,21
05fa60020215fd65f8f8b9dd441f864b,beleza_saude,32,324,1,250,23,9,14
0a8364a63342dab8877bc3e5eb7cff6c,utilidades_domesticas,50,298,1,6050,30,40,30
1fde7ac241af066577f1b1602435beaf,moveis_decoracao,56,1941,4,2450,105,3,70
20dd7f59c8d37692cd7aabe00f3af998,beleza_saude,52,1709,1,625,29,20,24
5d7c23067ed3fc8c6e699b9373d5890b,fashion_bolsas_e_acessorios,54,151,3,250,20,2,16
f0fd2799d9eb02ccb6efa890519a6c4d,moveis_decoracao,59,456,1,5200,60,40,45
b45e1c65cd9f63e06b57f502caf50b78,brinquedos,33,378,1,5000,72,34,20
87c8fb5d5bb43fd06e54c78f6fa45836,automotivo,48,727,5,2325,37,26,22
a9342ff863c8bcf625664fe435e7f253,esporte_lazer,44,2080,1,2600,30,25,25
1a4abdf8e4e0329e516e6e55260bb1d7,ferramentas_jardim,35,382,1,600,22,7,16
aabc408823496d430c4b0b85561403ad,informatica_acessorios,54,127,2,100,16,8,11
ba01ca5c2982cedf05294014427c6afe,relogios_presentes,54,878,1,513,15,11,11
543b4f1745e0cd1505219f3af6d56d7b,perfumaria,53,597,1,3250,24,15,17
e2dd0cb9b99517a86cbc9441cbb55348,la_cuisine,41,194,1,450,31,10,18
6af89b97a841482f79c52765bfe0d699,esporte_lazer,38,2378,1,1743,29,26,24
915c18c67d0b3cd469475eccc0d1a7bb,eletronicos,46,391,1,150,18,12,13
5581bb179770e44255d6bb9b9e1bcca9,esporte_lazer,37,121,1,363,18,14,17
95c1a931a9c24a30577e9af5a5c420ea,esporte_lazer,33,959,1,550,25,15,25
0b575b7f0277a4fa1e89af27590b438d,cama_mesa_banho,57,249,1,850,35,20,35
a883c6cc6b971869a2c962f76fb73ab1,cama_mesa_banho,55,2293,4,1100,42,15,33
30fdc68482fb0487e68aaf09260b22cf,cama_mesa_banho,48,126,1,1200,45,25,35
bfa56a308202301eca94dc7f8b5c3dca,beleza_saude,31,1608,1,350,16,7,11
2d58f9383bf9170598663ad36c0859a2,moveis_decoracao,50,200,3,1200,34,8,24
a0686391b9b79dbfb9577555719ec45e,utilidades_domesticas,55,773,1,26950,44,48,44
4f2c53c9a1a7a00a247b351c1fdbed13,cama_mesa_banho,54,662,1,550,28,4,22
e0f55a53bebaae74a51a8fb9639681d6,bebes,58,599,1,75,20,15,16
af1190b9fff9a3c0ea7bc29ef8dfd8c1,brinquedos,29,351,1,363,17,14,16
13fd915e499b787f1f4c9dbb231d0d4c,informatica_acessorios,53,113,3,150,16,5,15
2ff677af9af410da689ac8299bab93c9,brinquedos,47,822,2,3725,41,32,25
63d6e7ab30f482382c9dfbbccae7da54,eletroportateis,56,1031,6,625,21,19,16
65f42db0d3e2d8f4fe41b6c3eb0f6561,brinquedos,59,929,10,450,18,11,16
42e81d5b55c06ce473ee24c7e5d1d1f4,cama_mesa_banho,57,1901,1,1100,28,10,28
774ea72f37a7fbf1fb32b973a18f2348,construcao_ferramentas_jardim,47,886,5,5050,50,16,40
341c7cf0d9806592075c3090658f5c81,moveis_decoracao,35,159,2,600,32,7,22
afdca9f0ccd47943dcb8dcec1518da63,beleza_saude,44,502,1,500,16,16,15
9e88896ff9b39f42a9652dc0730ecabc,telefonia,58,667,3,350,17,4,12
6789e81c62b672bf413759d22ecacaf7,utilidades_domesticas,46,836,1,383,17,13,14
38e28b7814d36bc84b972a75dd7c5ce7,market_place,63,937,1,200,46,4,11
01175f0c6182b4410c669417d7e8268f,brinquedos,39,326,4,600,42,7,42
cca8e09ba6f2d35e44f05b3c936d644e,consoles_games,34,1413,1,150,20,3,18
3308e7337d30a51ac18fa4e9e72b310c,telefonia,58,785,5,350,17,4,12
d6d121aae35cf0cb9078f82deb7047d2,fashion_bolsas_e_acessorios,51,220,2,150,34,4,24
b3a1e177812466b5c1c71b314ee2ee31,eletrodomesticos,43,430,1,850,30,19,17
40db914a3129475d11db840a1c411fba,alimentos_bebidas,57,3838,10,800,28,12,12
0bf311dc96c3ce0503cb03068588c196,eletrodomesticos,56,204,1,300,18,8,13
edfb12f6fd9cb4fb1eec00ad28ea5c74,fashion_bolsas_e_acessorios,30,401,3,100,16,11,11
1e5748190b56004a34ec795670bffe4d,moveis_decoracao,63,862,5,600,19,13,12
c2bd03501cf7f4f3a1201e6069155bc0,moveis_decoracao,55,133,1,900,35,4,30
30715b45872148dd5322eb2989228a43,cama_mesa_banho,51,290,1,6050,40,32,40
1f5a00433bd192f9ecdbb987e7866c3e,cama_mesa_banho,54,836,1,1400,16,16,16
f62ed10e188737a0f5e98e5d7c21c442,utilidades_domesticas,31,397,1,1500,16,24,11
da8faea5f69f03fce4dfc01ceee4f1dd,fashion_esporte,47,562,6,300,29,7,16
0b28e43610654365d0266f77070a71d9,relogios_presentes,60,478,1,200,16,11,11
9b447644d291396340ea3641fc70d132,esporte_lazer,43,163,1,900,25,10,11
bdb5e8a591cc4e0b3c77305831c180c0,utilidades_domesticas,52,440,3,2000,33,35,33
665dcf48bfab7017f4ac917abaafac4f,beleza_saude,31,519,1,310,22,22,20
ae9e33c1ac2b32c7518516756f7b80a5,beleza_saude,60,417,1,100,16,11,12
be3eb52ad733d7f7fff631a0cad35e81,informatica_acessorios,29,863,4,500,16,16,16
78ed4ecc7b75c660ce2ccfb97af2eaeb,esporte_lazer,45,190,2,400,37,20,29
01880e9ca075037ac0520fb94c07a79a,automotivo,42,756,5,550,17,5,12
8477d691ae21afadfa805681bef3a620,fashion_bolsas_e_acessorios,29,354,1,200,16,8,11
86f2416d4670e4ea3ca5494d043d9f24,moveis_escritorio,33,1205,1,11700,36,54,35
12722654d210214a6fa95baae1e37941,moveis_decoracao,56,1892,5,3000,69,11,11
82bbea2a39c7d1745ad49a2479460e75,cool_stuff,44,732,2,3050,62,30,26
bc048769f430e8e98c07bae3108a422c,relogios_presentes,44,546,1,475,20,13,19
6aa640325da3a535ae4266a0252105bc,cama_mesa_banho,46,352,2,900,50,11,11
84b6ea77a72c80fa8f23287a4e6c1dc8,fashion_calcados,54,404,4,900,33,12,22
b0db5c7b3cdf07d5d6de413ad86bc1d1,automotivo,58,500,1,550,30,20,20
e38e0b558340e87a62ebeacc7b83d8d7,utilidades_domesticas,48,996,1,400,25,15,20
2d7cd0c78354e447e9c2a37e1e287417,utilidades_domesticas,50,554,4,9900,105,12,40
8bb2ca7d3fbcb7de9ff7b8250cb292b5,moveis_decoracao,58,582,4,10600,41,66,41
37b68dc7d701dd876736ad568b8f152f,bebes,40,811,3,350,38,8,38
86facec0be6ecaeb315ad287b9841c4f,malas_acessorios,25,912,3,550,20,30,16
9154514352d1fa2118cef7a94f364687,papelaria,59,316,2,5850,38,30,28
