geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
12914,-22.971192168964663,-46.53069717520333,BRAGANCA PAULISTA,SP
41342,-12.850107296150902,-38.45092640383171,SALVADOR,BA
17056,-22.36054245132414,-49.10179815266309,BAURU,SP
39718,-18.45586479677623,-42.247370542237896,NACIP RAYDAN,MG
59090,-5.871808443154695,-35.18059827306835,NATAL,RN
95900,-29.450768240388243,-51.95272661475476,LAJEADO,RS
08544,-23.531807336718767,-46.364626524610486,FERRAZ DE VASCONCELOS,SP
17519,-22.225050765191323,-49.93905604218365,MARILIA,SP
27910,-22.37333917216797,-41.78264909681508,MACAE,RJ
48903,-9.412057006657427,-40.50084296245758,JUAZEIRO,BA
81130,-25.502485452680457,-49.3001412485429,CURITIBA,PR
14790,-20.321448941624585,-48.30690862488229,GUAIRA,SP
96450,-30.976343909694226,-54.66646157438711,DOM PEDRITO,RS
38600,-17.226246713645807,-46.873821516818026,PARACATU,MG
17509,-22.20211348404407,-49.94902505551384,MARILIA,SP
84268,-24.322367001807617,-50.62996334245598,TELEMACO BORBA,PR
38800,-19.313460365164264,-46.04288303420547,SAO GOTARDO,MG
28300,-21.19139034024242,-41.891246922649366,ITAPERUNA,RJ
06785,-23.63187919539498,-46.80960124952384,TABOO DA SERRA,SP
37704,-21.79165033586708,-46.5984731904057,POCOS DE CALDAS,MG
94935,-29.937193599674675,-51.09439339616924,CACHOEIRINHA,RS
69085,-3.070348658895497,-59.955835945322875,MANAUS,AM
13900,-22.70148533611284,-46.76272895697963,AMPARO,SP
15495,-19.973801367723635,-49.67667946426917,RIOLANDIA,SP
28621,-22.32044055694368,-42.54448664010933,NOVA FRIBURGO,RJ
38840,-19.004119178922185,-46.30772820051898,CARMO DO PARANAIBA,MG
07242,-23.441499272548914,-46.4206751508454,GUARULHOS,SP
14091,-21.183940917017683,-47.797294997778295,RIBEIRAO PRETO,SP
34007,-20.011605590962436,-43.95610077256098,NOVA LIMA,MG
22471,-22.965164328899487,-43.20281028934155,RIO DE JANEIRO,RJ
37704,-21.80875122760681,-46.57066218663714,POCOS DE CALDAS,MG
06394,-23.52468364155632,-46.8579687417654,CARAPICUIBA,SP
98035,-28.64377593692434,-53.58835962834955,CRUZ ALTA,RS
41297,-12.90437999999999,-38.4683333793408,SALVADOR,BA
19800,-22.66162137421984,-50.412543792128474,ASSIS,SP
97560,-30.386554903182816,-56.45492737617002,QUARAI,RS
27110,-22.473067837638723,-43.833864915391,BARRA DO PIRAI,RJ
88702,-28.48661588639204,-49.01938097442177,TUBARAO,SC
37940,-20.86275674828191,-46.39037049909793,ALPINOPOLIS,MG
55038,-8.271734732171302,-35.99202326814733,CARUARU,PE
24431,-22.82800223427604,-43.08042155784886,SAO GONCALO,RJ
72592,-15.992179224980068,-47.99300822085127,BRASILIA,DF
28960,-22.838550735119487,-42.22528956474784,IGUABA GRANDE,RJ
79740,-22.300239347298493,-53.81313596399557,IVINHEMA,MS
12308,-23.30243963284293,-45.9628932982168,JACAREI,SP
37701,-21.782527662243968,-46.601616072939144,POCOS DE CALDAS,MG
85780,-25.445289813645804,-53.40647333423502,BOA VISTA DA APARECIDA,PR
11087,-23.94457340383172,-46.37830786011886,SANTOS,SP
21235,-22.838053881366005,-43.31962217839234,RIO DE JANEIRO,RJ
08290,-23.550319655288813,-46.44808602331352,SAO PAULO,SP
51020,-8.110451776848091,-34.88933742368278,RECIFE,PE
95560,-29.33086637631061,-49.74006889468822,TORRES,RS
78450,-13.836010990316204,-56.09316538204404,NOVA MUTUM,MT
87706,-23.081803414685936,-52.4460393799472,PARANAVAI,PR
09852,-23.73826331364085,-46.60708353005791,SAO BERNARDO DO CAMPO,SP
88370,-26.892414920729884,-48.65807300509215,NAVEGANTES,SC
14570,-20.19446923595083,-47.70809683780987,BURITIZAL,SP
68180,-4.258785540206847,-55.99038250686722,ITAITUBA,PA
55865,-7.550994643821574,-35.45007143009738,MACAPARANA,PE
97545,-29.80829086405931,-55.81135554608897,ALEGRETE,RS
37410,-21.70661515328801,-45.25219186007721,TRS CORAES,MG
79022,-20.44885366971553,-54.5942514570952,CAMPO GRANDE,MS
15070,-20.81561488292728,-49.36037977246277,SO JOS DO RIO PRETO,SP
01217,-23.53371877324141,-46.649517103381655,SO PAULO,SP
79116,-20.41986786449107,-54.64193330117413,CAMPO GRANDE,MS
15380,-20.50186799797818,-51.02546025366848,SUZANAPOLIS,SP
82800,-25.430856034970276,-49.22467214599798,CURITIBA,PR
15091,-20.84364166634216,-49.40262552227992,SAO JOSE DO RIO PRETO,SP
18890,-23.453740375420495,-49.40073185734994,TAGUA,SP
48790,-10.960148424327423,-38.786911931080944,TUCANO,BA
01230,-23.53553877462639,-46.656553960182265,SO PAULO,SP
11720,-24.007344613278455,-46.460797680241825,PRAIA GRANDE,SP
95588,-29.825067188167303,-50.052623582689776,XANGRILA,RS
87710,-23.09358139820424,-52.477657658806606,PARANAVA,PR
22763,-22.942337510416003,-43.35449737494961,RIO DE JANEIRO,RJ
31741,-19.846795368861432,-43.94319037024641,BELO HORIZONTE,MG
07032,-23.506658717179295,-46.554554954757926,GUARULHOS,SP
33935,-19.815082877441466,-44.01399448256412,RIBEIRAO DAS NEVES,MG
01251,-23.54627939993657,-46.67337757103707,SAO PAULO,SP
15385,-20.431794759939866,-51.33194928836062,ILHA SOLTEIRA,SP
95080,-29.16535452851451,-51.18290609966248,CAXIAS DO SUL,RS
81220,-25.45599941548847,-49.32493771510183,CURITIBA,PR
09230,-23.62006445850885,-46.52019391381502,SANTO ANDRE,SP
35200,-19.493524136633447,-41.08222620795333,AIMORS,MG
06550,-23.39387557379743,-47.00871444261356,PIRAPORA DO BOM JESUS,SP
47640,-13.395602099132878,-44.202039985060935,SANTA MARIA DA VITRIA,BA
88420,-27.41058652783632,-49.82297383876647,AGROLANDIA,SC
30310,-19.94831550568415,-43.9259747746264,BELO HORIZONTE,MG
66020,-1.4597754021519844,-48.50382097680023,BELEM,PA
03152,-23.592068853453757,-46.5805032120434,SAO PAULO,SP
91350,-30.014187841796993,-51.15947861114325,PORTO ALEGRE,RS
18470,-23.829888753652213,-49.431766239354864,RIVERSUL,SP
79580,-19.73008311550933,-51.9294478994154,INOCENCIA,MS
84450,-25.02387685308541,-50.58297221546916,IPIRANGA,PR
06361,-23.564367461699735,-46.844565056114135,CARAPICUIBA,SP
06714,-23.599929017485135,-46.86983327797327,COTIA,SP
89560,-27.00236343014839,-51.15891073266107,VIDEIRA,SC
58053,-7.151699902302499,-34.85211997238729,JOAO PESSOA,PB
29116,-20.342868643750048,-40.341256791852985,VILA VELHA,ES
08760,-23.56824608966889,-46.21625143812211,MOGI DAS CRUZES,SP
67015,-1.366397071582541,-48.3949591431515,ANANINDEUA,PA
02309,-23.477826195943248,-46.60353221634257,SO PAULO,SP
08311,-23.63163035997463,-46.46759607493222,SAO PAULO,SP
90670,-30.05202089676258,-51.1892405723065,PORTO ALEGRE,RS
17120,-22.477847566722257,-48.97054464877782,AGUDOS,SP
02759,-23.483268257836283,-46.68120044732544,SO PAULO,SP
39718,-18.46184493075795,-42.2487953722837,NACIP RAYDAN,MG
30431,-19.940145024698506,-43.9683656869122,BELO HORIZONTE,MG
60115,-3.74485946240398,-38.515907800132965,FORTALEZA,CE
14177,-21.13493673466444,-48.01051258826242,SERTOZINHO,SP
14795,-20.182683826922823,-48.690777745497066,COLOMBIA,SP
78850,-15.542163006534816,-54.3024778328076,PRIMAVERA DO LESTE,MT
33600,-19.626135900615328,-44.03155372987562,PEDRO LEOPOLDO,MG
82315,-25.417664560899,-49.35573190185413,CURITIBA,PR
23520,-22.935783509579284,-43.6746316286284,RIO DE JANEIRO,RJ
89683,-26.870638647745345,-52.01390282319903,PONTE SERRADA,SC
83324,-25.426887841797,-49.1889130916093,PINHAIS,PR
05735,-23.62652168076756,-46.74894893654597,SAO PAULO,SP
09180,-23.69166372300768,-46.52189274424372,SANTO ANDRE,SP
39300,-15.951252143118692,-44.84884674307952,SAO FRANCISCO,MG
78053,-15.571696422677032,-56.05924694258472,CUIABA,MT
20541,-22.921880500692485,-43.24005731334757,RIO DE JANEIRO,RJ
30882,-19.883968993623352,-44.00891916694556,BELO HORIZONTE,MG
99960,-27.953797243257792,-52.02964105736787,CHARRUA,RS
05417,-23.56162779488149,-46.68890811391323,SO PAULO,SP
88037,-27.60606830835592,-48.50404261754856,FLORIANOPOLIS,SC
03262,-23.590384637803663,-46.55021336135961,SAO PAULO,SP
38600,-17.214656898143044,-46.873972292728965,PARACATU,MG
34300,-20.096906368462825,-43.78668211187473,RIO ACIMA,MG
13844,-22.39071509445225,-46.947991678278754,MOGI GUAU,SP
46810,-12.07343223791016,-41.09018804022589,UTINGA,BA
09993,-23.704071652743195,-46.623571175926934,DIADEMA,SP
35162,-19.463213771976132,-42.57647471366304,IPATINGA,MG
13170,-22.819262018870127,-47.26821844157196,SUMARE,SP
12220,-23.175240380518183,-45.85180164155459,SAO JOSE DOS CAMPOS,SP
35790,-18.741505091236764,-44.43182349065633,CURVELO,MG
31270,-19.85353623203871,-43.95838212960935,BELO HORIZONTE,MG
35400,-20.37243095063083,-43.503524276267605,OURO PRETO,MG
88740,-28.26200762962373,-49.019129099948984,ARMAZEM,SC
05795,-23.648553408823386,-46.774184857060426,SAO PAULO,SP
98700,-28.396033322699637,-53.92961334966601,IJUI,RS
14060,-21.14416343158864,-47.82607161795259,RIBEIRAO PRETO,SP
30380,-19.945708522072778,-43.94992091909515,BELO HORIZONTE,MG
25065,-22.777271420982693,-43.29084522983145,DUQUE DE CAXIAS,RJ
81490,-25.580306608661765,-49.317491138207686,CURITIBA,PR
14230,-21.31363348956331,-47.563618772439675,SERRA AZUL,SP
09931,-23.664025383836417,-46.626574170956275,DIADEMA,SP
14890,-21.274121027834695,-48.325926762878,JABOTICABAL,SP
08773,-23.51916383515119,-46.195100707328656,MOGI DAS CRUZES,SP
06458,-23.488646289421418,-46.82727646258733,BARUERI,SP
35182,-19.558963456420926,-42.63657539747154,TIMOTEO,MG
88066,-27.709301769015063,-48.5024368597931,FLORIANOPOLIS,SC
66613,-1.4156398606671243,-48.44150769525075,BELEM,PA
90035,-30.02951648845881,-51.220565392174954,PORTO ALEGRE,RS
21221,-22.842229734952895,-43.32403510851754,RIO DE JANEIRO,RJ
05311,-23.525509443505207,-46.738242648363915,SO PAULO,SP
46140,-13.635996692326158,-41.83791248622691,LIVRAMENTO DE NOSSA SENHORA,BA
44032,-12.22282283854509,-38.96900331734925,FEIRA DE SANTANA,BA
11925,-24.735687040044148,-47.55141380618487,ILHA COMPRIDA,SP
19064,-22.1581916194818,-51.45383155689881,PRESIDENTE PRUDENTE,SP
80060,-25.434445034011976,-49.26297322483675,CURITIBA,PR
32677,-19.944259795169945,-44.11003025367879,BETIM,MG
75522,-18.411949316351116,-49.19872625663429,ITUMBIARA,GO
55020,-8.281431460495254,-35.95481758484702,CARUARU,PE
86455,-23.47353347281916,-49.968833261220055,JOAQUIM TVORA,PR
24220,-22.89950820591559,-43.107681313803035,NITEROI,RJ
08121,-23.49736857314627,-46.383809200643555,SO PAULO,SP
81130,-25.497563741329536,-49.295473004847416,CURITIBA,PR
13418,-22.731427152374614,-47.629837304605,PIRACICABA,SP
58038,-7.105646450198958,-34.83622083943106,JOAO PESSOA,PB
08290,-23.55344513849616,-46.45281563849616,SAO PAULO,SP
13181,-22.837067231063664,-47.189508773134,SUMARE,SP
06385,-23.536444211524618,-46.83835871298727,CARAPICUIBA,SP
03090,-23.53041228310916,-46.5592122500721,SAO PAULO,SP
11088,-23.944401,-46.3837365,SANTOS,SP
38057,-19.735206790929112,-47.96727814520883,UBERABA,MG
96700,-29.95563252842332,-51.72605965304416,SAO JERONIMO,RS
92500,-30.1077910269202,-51.31560964016959,GUAIBA,RS
29560,-20.773114130677364,-41.66898709993187,GUACUI,ES
35500,-20.139190697380737,-44.88753081910666,DIVINPOLIS,MG
09321,-23.647688523893255,-46.43816323549624,MAUA,SP
36415,-20.50437333485861,-43.87019966279804,CONGONHAS,MG
74730,-16.69462633839145,-49.208796191013754,GOIANIA,GO
35170,-19.503626286747323,-42.630435947099265,CORONEL FABRICIANO,MG
13184,-22.882590641142833,-47.171015297318014,HORTOLNDIA,SP
20770,-22.894713135726192,-43.2904397016274,RIO DE JANEIRO,RJ
15800,-21.135525830976952,-48.975224422557616,CATANDUVA,SP
21875,-22.86428787676728,-43.45436757646144,RIO DE JANEIRO,RJ
18115,-23.573006718013772,-47.45446174780983,VOTORANTIM,SP
04346,-23.64046218818163,-46.65213172883605,SAO PAULO,SP
76932,-11.698684636025174,-62.71722229930389,SAO MIGUEL DO GUAPORE,RO
13300,-23.263879999999972,-47.29961999999995,ITU,SP
83407,-25.33982723413149,-49.16847217326861,COLOMBO,PR
05846,-23.6589204970858,-46.746583507213366,SO PAULO,SP
20241,-22.93578344663107,-43.203477276221165,RIO DE JANEIRO,RJ
06877,-23.775275153759615,-46.92524721702256,ITAPECERICA DA SERRA,SP
78128,-15.672988079375637,-56.12238577324141,VARZEA GRANDE,MT
85884,-25.28447846049891,-54.10753367658674,MEDIANEIRA,PR
27281,-22.502403671100513,-44.10634754593457,VOLTA REDONDA,RJ
16450,-21.798361389350315,-49.931786174425355,GETULINA,SP
13874,-21.97607722167087,-46.78383091348736,SAO JOAO DA BOA VISTA,SP
05796,-23.649366467943903,-46.770998395781646,SAO PAULO,SP
24751,-22.869206999999992,-43.00471350000001,SAO GONCALO,RJ
28053,-21.745003999442066,-41.352473765182594,CAMPOS DOS GOYTACAZES,RJ
36780,-21.31898486808176,-42.860440568244655,ASTOLFO DUTRA,MG
04863,-23.763377693029053,-46.70961002928614,SAO PAULO,SP
87250,-23.91734824477223,-52.34175772430052,PEABIRU,PR
85813,-24.93474468445937,-53.4520245866463,CASCAVEL,PR
06950,-23.934984249152407,-47.06724332473032,JUQUITIBA,SP
30530,-19.924580891482456,-44.00155993865776,BELO HORIZONTE,MG
05323,-23.542127519129053,-46.7527721799693,SAO PAULO,SP
18079,-23.433027276155592,-47.47681867568815,SOROCABA,SP
14407,-20.50124748838118,-47.417733488535426,FRANCA,SP
13905,-22.704408000000004,-46.80629775,AMPARO,SP
24450,-22.82452059975819,-43.01607755432632,SAO GONCALO,RJ
05619,-23.59078232172513,-46.72737250125725,SAO PAULO,SP
35570,-20.476029271203032,-45.424997460965805,FORMIGA,MG
25650,-22.534274685810892,-43.219530049880774,PETROPOLIS,RJ
67133,-1.3631947247093936,-48.41035854670639,ANANINDEUA,PA
20070,-22.902411259766975,-43.17792445573887,RIO DE JANEIRO,RJ
80030,-25.414000868168948,-49.25456839148247,CURITIBA,PR
21331,-22.872709874364983,-43.37161322842518,RIO DE JANEIRO,RJ
94475,-30.0703429621272,-51.101766727328005,VIAMAO,RS
16980,-21.039323315439916,-51.20492321323595,GUARAA,SP
14070,-21.11071133305443,-47.785770419095144,RIBEIRAO PRETO,SP
09580,-23.64769999999993,-46.57604999999995,SO CAETANO DO SUL,SP
47640,-13.38779153914276,-44.19378724328119,SANTA MARIA DA VITORIA,BA
01218,-23.52943364086209,-46.64740556618965,SAO PAULO,SP
20750,-22.88037690146578,-43.3015732559005,RIO DE JANEIRO,RJ
60150,-3.7350709211726314,-38.49851481556928,FORTALEZA,CE
13190,-22.933832424522848,-47.263442520157355,MONTE MOR,SP
02410,-23.473578489035734,-46.624364025535215,SAO PAULO,SP
31365,-19.873646517629368,-44.00292664377629,BELO HORIZONTE,MG
30410,-19.920565832650396,-43.96943931666579,BELO HORIZONTE,MG
74573,-16.637484017782825,-49.281556060990624,GOIANIA,GO
17150,-22.575367037920945,-49.403086010780214,PAULISTANIA,SP
38610,-16.34920968418719,-46.9278285890226,UNAI,MG
07240,-23.44653217929482,-46.442055185123195,GUARULHOS,SP
13480,-22.57312880322003,-47.40389113627447,LIMEIRA,SP
21340,-22.874462361359605,-43.34212543756124,RIO DE JANEIRO,RJ
86360,-23.115300007435064,-50.36507055171485,BANDEIRANTES,PR
11660,-23.62093926479239,-45.40880852259713,CARAGUATATUBA,SP
15990,-21.600315156818017,-48.366624420624355,MATAO,SP
03213,-23.606664998615024,-46.56153902207277,SAO PAULO,SP
63595,-6.132344406821345,-39.87791870536713,CATARINA,CE
03307,-23.542770530671113,-46.57502313295623,SO PAULO,SP
21930,-22.82592723619365,-43.17260383859434,RIO DE JANEIRO,RJ
05642,-23.62317449847078,-46.7357067038491,SAO PAULO,SP
05010,-23.538721914507526,-46.67432654648282,SAO PAULO,SP
08143,-23.537286125454425,-46.63790856480467,SAO PAULO,SP
36061,-21.753082801835056,-43.336702697472454,JUIZ DE FORA,MG
45834,-16.843711846011995,-40.16120257787555,JUCURUCU,BA
69900,-9.954801154269822,-67.82046796133267,RIO BRANCO,AC
21331,-22.871788962259757,-43.36679117485142,RIO DE JANEIRO,RJ
96212,-32.052790154679144,-52.12921344277155,RIO GRANDE,RS
88131,-27.65253792528218,-48.668329535783336,PALHOCA,SC
45606,-14.812802759362947,-39.27055027531888,ITABUNA,BA
65800,-7.534499649414315,-46.04798043094191,BALSAS,MA
60192,-3.745469304749242,-38.490058430059435,FORTALEZA,CE
01007,-23.549177399388316,-46.63863497209885,SAO PAULO,SP
09270,-23.636330255900496,-46.49037985152052,SANTO ANDRE,SP
12235,-23.2388850292092,-45.90221803043752,SO JOS DOS CAMPOS,SP
21832,-22.88387170948066,-43.48717059433063,RIO DE JANEIRO,RJ
20725,-22.90425948542905,-43.27922848251487,RIO DE JANEIRO,RJ
60420,-3.759209308355916,-38.55457892714523,FORTALEZA,CE
30411,-19.9269124052167,-43.962858083270774,BELO HORIZONTE,MG
18071,-23.45467177269315,-47.50707062476191,SOROCABA,SP
12327,-23.30107557285476,-45.968258572162256,JACAREI,SP
13056,-22.97349754522617,-47.14353753563916,CAMPINAS,SP
05340,-23.55188429998015,-46.7555071385058,SAO PAULO,SP
95920,-29.29920114280871,-52.42865492859565,BOQUEIRO DO LEO,RS
95630,-29.632162361767342,-50.817630856976336,PAROBE,RS
25050,-22.757712174905443,-43.28942626566256,DUQUE DE CAXIAS,RJ
40750,-12.95091475747894,-38.38580156598013,SALVADOR,BA
08280,-23.55855237137284,-46.48154452018533,SAO PAULO,SP
50070,-8.068183040250402,-34.891971610883466,RECIFE,PE
29105,-20.445573610148053,-40.35788282480635,VILA VELHA,ES
86680,-22.913430942529654,-51.79305446278628,NOSSA SENHORA DAS GRACAS,PR
67113,-1.378104837661042,-48.42064036270372,ANANINDEUA,PA
17690,-21.9201436718567,-50.72891108499414,BASTOS,SP
35450,-20.248129531098325,-43.81157336158547,ITABIRITO,MG
13184,-22.864323115838182,-47.21734646584956,HORTOLANDIA,SP
20270,-22.916814296150896,-43.216496848866136,RIO DE JANEIRO,RJ
89058,-26.860863830038213,-49.04954739951691,BLUMENAU,SC
25070,-22.77774813459175,-43.30553082690469,DUQUE DE CAXIAS,RJ
39470,-15.09650889922996,-44.1013746575538,ITACARAMBI,MG
47680,-14.182217853212649,-44.536094823223294,COCOS,BA
49037,-10.989627629855264,-37.05340285641958,ARACAJU,SE
90050,-30.03888746601066,-51.223874407149935,PORTO ALEGRE,RS
23573,-22.916482303075792,-43.65441388649081,RIO DE JANEIRO,RJ
65086,-2.560197572854765,-44.33644551165676,SAO LUIS,MA
68627,-2.9970991555660347,-47.382976176345096,PARAGOMINAS,PA
34700,-19.876090050215268,-43.89551077815164,SABARA,MG
86990,-23.474367156575475,-51.806940838150275,MARIALVA,PR
07262,-23.47902689425242,-46.38705543075193,GUARULHOS,SP
12224,-23.17435625367879,-45.822372480293154,SAO JOSE DOS CAMPOS,SP
02964,-23.486946693101107,-46.7058842802731,SAO PAULO,SP
06540,-23.45770432091939,-46.88068541045968,SANTANA DE PARNAIBA,SP
87045,-23.42545943116012,-51.898906594926,MARINGA,PR
17603,-21.93621776489671,-50.49866845669104,TUPA,SP
38406,-18.8773427035893,-48.21379179531418,UBERLANDIA,MG
65015,-2.531381510964263,-44.29918375145709,SAO LUIS,MA
88063,-27.69150947958764,-48.487439070154615,FLORIANOPOLIS,SC
29143,-20.34698821647719,-40.38216529192696,CARIACICA,ES
01328,-23.555755445467103,-46.648851736886144,SAO PAULO,SP
86604,-23.31142806733938,-51.400828598228976,ROLANDIA,PR
18900,-22.89011831596405,-49.62255538449142,SANTA CRUZ DO RIO PARDO,SP
54330,-8.16221843638789,-34.931756373207016,JABOATAO DOS GUARARAPES,PE
88047,-27.63450743825374,-48.51989815598131,FLORIANOPOLIS,SC
83330,-25.433714861547333,-49.160421346144766,PINHAIS,PR
18143,-23.56379133527612,-47.08872126242136,SO ROQUE,SP
02312,-23.46373775936294,-46.603089021091826,SAO PAULO,SP
96830,-29.732961859578666,-52.4175699533875,SANTA CRUZ DO SUL,RS
08041,-23.51243735569871,-46.439452074776995,SAO PAULO,SP
14600,-20.556560999999945,-47.90279149999995,SAO JOAQUIM DA BARRA,SP
98200,-28.632335455458076,-53.100597372242234,IBIRUBA,RS
73070,-15.636373936615463,-47.84483308360165,BRASILIA,DF
39300,-15.9573113304039,-44.85589637778415,SAO FRANCISCO,MG
63900,-4.970561189455914,-39.01732492679786,QUIXAD,CE
25060,-22.77134525789244,-43.29970187153518,DUQUE DE CAXIAS,RJ
27963,-22.335139142980506,-41.737078616942114,MACA,RJ
14408,-20.514934742294372,-47.43757389139409,FRANCA,SP
99250,-28.715665761167728,-51.93461774624144,SERAFINA CORREA,RS
28621,-22.32028601473791,-42.54259571592007,NOVA FRIBURGO,RJ
95250,-28.854926420872836,-51.27264701216866,ANTONIO PRADO,RS
83040,-25.500465617548567,-49.17708062946514,SAO JOSE DOS PINHAIS,PR
24754,-22.86852809532202,-43.02683092902773,SAO GONCALO,RJ
04658,-23.665455257827208,-46.670444613259185,SAO PAULO,SP
05361,-23.566833524006014,-46.75008479003407,SAO PAULO,SP
96217,-32.16868387683155,-52.18142094140775,RIO GRANDE,RS
09290,-23.6455583628678,-46.52972638217375,SANTO ANDRE,SP
09530,-23.62039991035259,-46.573223558283814,SO CAETANO DO SUL,SP
74543,-16.67178230108099,-49.2782859729752,GOIANIA,GO
44071,-12.24246377852153,-38.92339707340303,FEIRA DE SANTANA,BA
14850,-21.365589679733016,-48.061481985234614,PRADOPOLIS,SP
74923,-16.767824572236332,-49.22495069958204,APARECIDA DE GOIANIA,GO
97010,-29.685529006376637,-53.81962936011886,SANTA MARIA,RS
97105,-29.702513936914773,-53.7254885051021,SANTA MARIA,RS
14401,-20.52604387285039,-47.39127458129143,FRANCA,SP
07161,-23.40795496280801,-46.44783101096428,GUARULHOS,SP
27263,-22.52191531418431,-44.12017058174157,VOLTA REDONDA,RJ
48020,-12.131981392274746,-38.41680159353853,ALAGOINHAS,BA
88960,-29.098503,-49.63457249999999,SOMBRIO,SC
22775,-22.972967510255252,-43.391716888274,RIO DE JANEIRO,RJ
18618,-22.905405022407223,-48.490065546949,RUBIAO JUNIOR,SP
18278,-23.345218090508503,-47.8659583303748,TATUI,SP
85852,-25.54491239635525,-54.579946354662994,FOZ DO IGUAU,PR
21853,-22.8537835881182,-43.495896343037735,RIO DE JANEIRO,RJ
63380,-7.170659243951707,-38.77804804612841,BARRO,CE
92200,-29.944544771596625,-51.1897361128167,CANOAS,RS
41810,-12.99210819755925,-38.4545872576083,SALVADOR,BA
49037,-10.992623615150016,-37.057020095407594,ARACAJU,SE
01311,-23.56435692062437,-46.65314214876795,SAO PAULO,SP
73330,-15.605276823003605,-47.654377487357394,BRASILIA,DF
37720,-21.64588519365314,-46.39611086809414,BOTELHOS,MG
37540,-22.23495404250533,-45.70901118437427,SANTA RITA DO SAPUCAI,MG
06535,-23.431280930059422,-46.8486747717122,SANTANA DE PARNAIBA,SP
17350,-22.512581293883997,-48.55864667085788,IGARACU DO TIETE,SP
88111,-27.5647140903337,-48.61886406590473,SAO JOSE,SC
45260,-14.533145198897168,-40.36847652235662,POCOES,BA
01226,-23.538613086588995,-46.653402358445405,SAO PAULO,SP
84570,-25.890923780051533,-50.832794323618074,MALLET,PR
09290,-23.64623689869582,-46.50560170760001,SANTO ANDRE,SP
39890,-16.661415059714017,-41.02133747122431,JOAMA,MG
22081,-22.986389399936577,-43.19617864585376,RIO DE JANEIRO,RJ
09210,-23.63586373327946,-46.521959898695826,SANTO ANDRE,SP
24240,-22.896305497085805,-43.10473019259637,NITEROI,RJ
58038,-7.110054094090807,-34.82747490244673,JOAO PESSOA,PB
24890,-22.736536737594317,-42.72226966446127,TANGUA,RJ
72225,-15.806669351054015,-48.12482590084328,BRASILIA,DF
38405,-18.887988656673787,-48.2479860328928,UBERLANDIA,MG
22710,-22.92994462669517,-43.379939528882105,RIO DE JANEIRO,RJ
86044,-23.376366776011373,-51.13097252011087,LONDRINA,PR
03128,-23.572365401610018,-46.58369112960936,SAO PAULO,SP
28495,-21.62483083990065,-42.10253535244422,APERIB,RJ
18690,-23.104187906492985,-48.62072538970178,ITATINGA,SP
86910,-23.706168349020427,-51.64273697352902,MARUMBI,PR
19500,-22.15378531969941,-51.17554753383199,MARTINOPOLIS,SP
37800,-21.310691563419695,-46.70759481556928,GUAXUPE,MG
02959,-23.488489173620625,-46.697815284715176,SAO PAULO,SP
